plot_ID,mean_5yr,sd_5yr,sum_5yr,n_obs_5yr,mean_10yr,sd_10yr,sum_10yr,n_obs_10yr
2078,496.894046,43.72241174,2484.47023,5,506.6119492,41.5490588,5066.119492,10
2079,496.894046,43.72241174,2484.47023,5,506.6119492,41.5490588,5066.119492,10
2080,496.894046,43.72241174,2484.47023,5,506.6119492,41.5490588,5066.119492,10
2081,496.894046,43.72241174,2484.47023,5,506.6119492,41.5490588,5066.119492,10
2082,496.894046,43.72241174,2484.47023,5,506.6119492,41.5490588,5066.119492,10
2083,909.4656036,76.97381019,4547.328018,5,946.9300507,95.96708351,9469.300507,10
2084,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2085,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2086,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2087,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2088,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2089,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2090,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2091,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2092,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2093,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2094,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2095,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2096,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2097,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2098,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2099,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2100,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2101,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2102,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2103,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2104,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2105,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2106,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2107,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2108,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2109,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2110,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2111,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2112,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2113,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2114,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2115,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2116,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2117,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2118,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2119,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2120,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2121,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2122,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2123,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2124,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2125,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2126,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2127,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2128,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2129,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2130,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2131,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2132,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2133,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2134,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2135,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2136,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2137,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2138,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2139,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2140,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2141,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2142,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2143,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2144,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2145,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2146,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2147,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2148,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2149,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2150,1070.984064,142.8533264,5354.920319,5,1175.618445,161.6628123,11756.18445,10
2151,532.1771515,67.30941729,2660.885757,5,488.5517601,65.76750601,4885.517601,10
2152,532.1771515,67.30941729,2660.885757,5,488.5517601,65.76750601,4885.517601,10
2153,532.1771515,67.30941729,2660.885757,5,488.5517601,65.76750601,4885.517601,10
2154,532.1771515,67.30941729,2660.885757,5,488.5517601,65.76750601,4885.517601,10
2155,532.1771515,67.30941729,2660.885757,5,488.5517601,65.76750601,4885.517601,10
2156,532.1771515,67.30941729,2660.885757,5,488.5517601,65.76750601,4885.517601,10
2157,532.1771515,67.30941729,2660.885757,5,488.5517601,65.76750601,4885.517601,10
2158,532.1771515,67.30941729,2660.885757,5,488.5517601,65.76750601,4885.517601,10
2159,460.2838348,59.46139732,2301.419174,5,423.6425926,55.94747603,4236.425926,10
2160,460.2838348,59.46139732,2301.419174,5,423.6425926,55.94747603,4236.425926,10
2161,460.2838348,59.46139732,2301.419174,5,423.6425926,55.94747603,4236.425926,10
2162,460.2838348,59.46139732,2301.419174,5,423.6425926,55.94747603,4236.425926,10
2163,407.5433212,52.65393673,2037.716606,5,378.0103378,48.77335191,3780.103378,10
2164,407.5433212,52.65393673,2037.716606,5,378.0103378,48.77335191,3780.103378,10
2165,460.2838348,59.46139732,2301.419174,5,423.6425926,55.94747603,4236.425926,10
2166,460.2838348,59.46139732,2301.419174,5,423.6425926,55.94747603,4236.425926,10
2167,460.2838348,59.46139732,2301.419174,5,423.6425926,55.94747603,4236.425926,10
2168,460.2838348,59.46139732,2301.419174,5,423.6425926,55.94747603,4236.425926,10
2169,792.6942841,49.81490493,3963.47142,5,833.2440712,61.78799176,8332.440712,10
2170,792.6942841,49.81490493,3963.47142,5,833.2440712,61.78799176,8332.440712,10
2171,792.6942841,49.81490493,3963.47142,5,833.2440712,61.78799176,8332.440712,10
