plot_ID,arcticdem_elev,chelsa_glacial_extent,worldclim_bio_1,worldclim_bio_2,worldclim_bio_3,worldclim_bio_4,worldclim_bio_5,worldclim_bio_6,worldclim_bio_7,worldclim_bio_8,worldclim_bio_9,worldclim_bio_10,worldclim_bio_11,worldclim_bio_12,worldclim_bio_13,worldclim_bio_14,worldclim_bio_15,worldclim_bio_16,worldclim_bio_17,worldclim_bio_18,worldclim_bio_19,nasa_slope,nasa_aspect,nasa_tri,nasa_elev,soilgrids_bdod,soilgrids_cfvo,soilgrids_nitrogen,soilgrids_ocd,soilgrids_phh2o,soilgrids_silt,soilgrids_soc,soilgrids_cec,soilgrids_clay,chr_glim_lith,chr_gum_sed_type,chr_gum_grain_size,chr_gum_mineralogy,chr_gum_age,chr_gum_thickness
90061,NA,Inf,9.616666794,7.633333206,35.176651,525.1248169,21.79999924,0.100000001,21.69999886,10.36666679,5.550000191,16.11666679,3.383333206,816,86,45,19.12724113,248,163,205,197,1.67434752,167.0491791,0.625,-1,0.899999976,9,7.400000095,5.400000095,6.199999809,41,93.90000153,35.7,36.3,su,Op,NA,NA,hu,NA
90062,NA,Inf,9.654166222,7.541666508,34.75422287,525.5536499,21.79999924,0.100000001,21.69999886,10.38333321,5.583333492,16.16666603,3.416666746,821,87,45,19.00705528,249,163,207,198,0.750820279,90,0.25,-3,0.899999976,7,6.099999905,5.199999809,6.099999905,39,89.09999847,32.4,42,su,Au,sc,NA,hu,NA
90063,NA,Inf,9.604166031,7.608333111,35.06144333,525.4584961,21.79999924,0.100000001,21.69999886,10.33333302,5.566666603,16.11666679,3.366666555,817,87,44,19.58137894,249,162,206,198,0.750588,270,0.5,-3,0.899999976,10,7.800000191,5.400000095,6.099999905,44,101,35.6,36.4,su,Op,NA,NA,hu,NA
90064,NA,Inf,9.604166031,7.608333111,35.06144333,525.4065552,21.79999924,0.100000001,21.69999886,10.34999943,5.550000191,16.11666679,3.366666555,817,86,45,18.96866608,248,163,205,198,NA,NA,NA,-3,0.899999976,9,7.5,5.400000095,6.199999809,41,95.5,34.1,40.9,su,Au,sc,NA,hu,NA
90065,NA,Inf,9.604166031,7.608333111,35.06144333,525.4584961,21.79999924,0.100000001,21.69999886,10.33333302,5.566666603,16.11666679,3.366666555,817,87,44,19.58137894,249,162,206,198,1.149601102,101.7009506,0.25,-4,0.899999976,10,7.800000191,5.400000095,6.099999905,44,101,36.8,34.4,su,Op,NA,NA,hu,NA
90066,NA,Inf,9.625,7.583333015,34.94623566,524.8830566,21.79999924,0.100000001,21.69999886,10.36666679,5.583333492,16.13333321,3.383333206,821,87,45,19.29275513,250,163,207,198,0.466338694,0,0.25,-4,0.899999976,9,7.699999809,5.5,6.199999809,42,94.40000153,36.5,35.3,su,Op,NA,NA,hu,NA
90067,NA,Inf,9.625,7.583333015,34.94623566,524.8830566,21.79999924,0.100000001,21.69999886,10.36666679,5.583333492,16.13333321,3.383333206,821,87,45,19.29275513,250,163,207,198,0.441851825,58.14910126,0.125,-3,0.899999976,9,7.699999809,5.5,6.199999809,42,94.40000153,36.1,33.4,su,Op,NA,NA,hu,NA
90068,NA,Inf,9.612500191,7.591666222,34.98463821,525.9714966,21.79999924,0.100000001,21.69999886,7,5.566666603,16.13333321,3.366666555,822,88,46,19.33827782,251,164,207,199,1.196953416,38.82054138,0.375,-3,0.800000012,9,8.300000191,5.5,6.199999809,42,102,35,34.9,su,Op,NA,NA,hu,NA
90069,NA,Inf,9.612500191,7.591666222,34.98463821,524.9550781,21.79999924,0.100000001,21.69999886,7,5.566666603,16.11666679,3.383333206,828,89,47,19.13723564,253,167,207,201,1.619978309,136.0125732,0.625,-3,0.899999976,9,8.699999809,5.400000095,6.199999809,44,102.6999969,35.1,31.2,su,Op,NA,NA,hu,NA
90070,NA,Inf,9.625,7.583333015,34.94623566,524.579895,21.79999924,0.100000001,21.69999886,7.016666412,5.583333492,16.13333321,3.399999857,825,88,46,19.23620796,252,166,207,200,1.674307466,12.94486141,0.625,-4,0.800000012,8,8.399999619,5.400000095,6.099999905,43,109.0999985,37.3,37.2,su,Op,NA,NA,hu,NA
90071,NA,Inf,9.612500191,7.591666222,34.98463821,524.9550781,21.79999924,0.100000001,21.69999886,7,5.566666603,16.11666679,3.383333206,828,89,47,19.13723564,253,167,207,201,0,90,0,-3,0.899999976,9,8.699999809,5.400000095,6.199999809,44,102.6999969,35.3,31.3,su,Op,NA,NA,hu,NA
90072,NA,Inf,9.625,7.583333015,34.94623566,524.579895,21.79999924,0.100000001,21.69999886,7.016666412,5.583333492,16.13333321,3.399999857,825,88,46,19.23620796,252,166,207,200,4.670062542,233.2854919,1.5,-2,0.800000012,8,8.399999619,5.400000095,6.099999905,43,109.0999985,36,33.2,su,Op,NA,NA,hu,NA
90073,NA,Inf,9.633333206,7.583333015,34.94623566,524.3798218,21.79999924,0.100000001,21.69999886,10.38333321,5.583333492,16.13333321,3.399999857,833,89,47,19.07652855,254,167,209,201,0.441644907,238.132431,0.125,-2,0.800000012,9,8.899999619,5.5,6.199999809,43,107.3000031,36.2,36.4,su,Op,NA,NA,hu,NA
90074,NA,Inf,9.629166603,7.591666222,34.98463821,524.3067017,21.79999924,0.100000001,21.69999886,10.36666679,5.583333492,16.13333321,3.399999857,824,88,46,19.54122353,252,164,207,199,0.793752313,28.20884895,0.25,-3,0.800000012,9,8.300000191,5.400000095,6.199999809,42,102.3000031,35.1,36.2,su,Op,NA,NA,hu,NA
90075,NA,Inf,9.612500191,7.591666222,34.98463821,525.9714966,21.79999924,0.100000001,21.69999886,7,5.566666603,16.13333321,3.366666555,822,88,46,19.33827782,251,164,207,199,2.208011866,238.1459198,0.875,-4,0.800000012,9,8.300000191,5.5,6.199999809,42,102,35.8,33.3,su,Op,NA,NA,hu,NA
90076,NA,Inf,9.633333206,7.583333015,34.94623566,524.3798218,21.79999924,0.100000001,21.69999886,10.38333321,5.583333492,16.13333321,3.399999857,830,89,47,19.42575264,254,167,208,201,1.324967027,301.8610535,0.375,-2,0.899999976,9,8.5,5.5,6.099999905,41,102.5,36.1,39,su,Op,NA,NA,hu,NA
