plot_ID,biomass,N,C,P,K,NP,NK,KP
2001,108.0104167,1.049643159,43.09688568,0.061454084,0.995396889,17.08012048,1.054497126,16.19740828
2002,147.4479167,1.110705733,44.09310532,0.066355494,0.946089966,16.73871546,1.173995891,14.25789952
2004,231.8229167,0.830202043,41.46657944,0.046963741,0.57369445,17.67751089,1.447115347,12.21568891
2005,87.94791667,0.933301389,44.03911972,0.051576161,0.724257962,18.09559632,1.288631176,14.04249459
2006,136.7604167,0.964668095,44.69002914,0.059451478,0.837194481,16.22614151,1.152262846,14.08197927
2007,102.1354167,0.939280629,44.61051559,0.061965597,0.6531705,15.1580986,1.43803284,10.54085705
2008,31.32291667,1.320701718,44.33058929,0.062746392,0.803479444,21.04824956,1.643728073,12.80518956
2009,146.0729167,0.954000652,43.67174911,0.075037599,0.876924159,12.71363509,1.087894138,11.68646346
2010,73.01041667,0.943778694,43.32459641,0.05946216,0.717688216,15.8719208,1.315026042,12.06966272
2011,67.76041667,1.002809525,42.80772781,0.072101517,1.073611104,13.90829995,0.934052863,14.89027067
2012,92.26041667,1.10870862,42.13318253,0.065812012,0.862125407,16.84659968,1.286017801,13.09981842
2013,128.5104167,0.901490808,42.95008469,0.0584052,0.910201891,15.43511208,0.990429505,15.58426118
2014,90.51041667,1.045136929,42.23921204,0.080296821,1.339457367,13.01591914,0.780268902,16.68132499
2015,97.69791667,1.097719908,42.20032501,0.094469933,1.531534421,11.61978074,0.716745176,16.21187157
2016,222.1354167,1.159342766,42.51208115,0.088340809,1.914128307,13.12352444,0.605676621,21.66754333
2017,127.7604167,0.926101506,42.03642654,0.065814832,1.048817886,14.07131915,0.882995531,15.93588944
2018,126.0729167,0.825270176,42.11245346,0.060813437,1.024329525,13.5705235,0.805668641,16.84380255
2019,143.8229167,1.024914145,42.35284424,0.068749061,1.231040138,14.90804573,0.832559486,17.90628294
2020,85.88541667,1.238961458,40.41155624,0.076300693,1.233122971,16.23787949,1.004734716,16.16136004
2021,69.69791667,1.567423224,40.73735046,0.135398682,2.622493153,11.57635511,0.597684391,19.36867563
2022,117.1354167,1.53807497,39.39847183,0.124323769,2.506120076,12.37152785,0.613727564,20.15801239
2023,47.13541667,1.319223166,41.6109848,0.114688466,1.892775808,11.50266641,0.696978036,16.50362825
2024,120.5104167,1.184289217,42.27835083,0.087968336,1.953929444,13.46267613,0.606106439,22.21173587
2025,79.76041667,1.038107395,42.4327774,0.089287843,1.657423649,11.62652563,0.626337989,18.5627023
2026,152.0416667,1.21018666,40.4299469,0.10903978,1.712928727,11.09857944,0.706501468,15.7092093
2027,84.47916669,1.11213103,41.07506371,0.06827201,1.561372601,16.28970698,0.712277792,22.86987907
2029,65.57291667,1.280355453,42.1822052,0.07695335,1.313222923,16.63807298,0.974971904,17.065182
2030,282.8854167,1.701387048,42.64231873,0.112445708,1.957923333,15.13074246,0.868975317,17.41216599
2031,303.8,1.186576843,43.63840103,0.097181239,1.089046611,12.20993738,1.089555609,11.20634623
2032,365.05,1.312185884,43.18832016,0.101076048,1.145399759,12.98216452,1.145613899,11.33205919
2033,375.05,1.259108186,43.62744904,0.097913409,1.149640742,12.85940505,1.095218828,11.74140247
2034,196.3,1.519994497,42.30826187,0.093207814,1.231086663,16.30758658,1.234677089,13.20797699
2035,376.55,1.274583459,43.72011948,0.080024365,1.141446062,15.92744234,1.116639236,14.26373158
2036,682.55,1.284879208,42.40288925,0.174306983,1.64472803,7.371358197,0.781210744,9.43581262
2037,733.3,1.30824995,43.22039413,0.161425176,1.414656944,8.104373694,0.924782475,8.763545929
2038,1257.1,1.691030145,44.46659851,0.252740228,1.505779104,6.690783491,1.123026705,5.957813348
2039,628.05,1.418117464,42.31249046,0.208020237,1.778611529,6.817209152,0.797317143,8.550185091
2040,1063.05,1.727823973,42.64847183,0.221643954,1.706850437,7.795493366,1.012287858,7.700866214
2041,1080.425,1.100111067,42.3503952,0.233801401,1.814335405,4.705322828,0.606343824,7.760156274
2042,1039.133333,1.28979516,42.41463598,0.249450263,2.306890978,5.170550413,0.559105381,9.247899564
2043,797.3833333,1.324229956,42.29799144,0.242225199,2.108717199,5.466937211,0.627978923,8.705606208
2044,662.925,1.229512393,42.03581238,0.264864155,2.382217593,4.642049036,0.516120944,8.994110953
2045,659.05,1.059307377,41.58302561,0.17562371,1.728365815,6.031687741,0.612895353,9.841301143
2046,473.8,1.614928961,41.15996552,0.113864749,1.394072974,14.18287025,1.158424983,12.24323582
2047,697.3,1.152582884,42.48980713,0.10255577,1.489357721,11.23859617,0.773879148,14.52241762
2048,302.05,1.556996226,41.69064713,0.112796107,1.458626166,13.80363443,1.067440213,12.93152933
2049,672.3,1.236202478,41.59663773,0.100314966,1.372671983,12.32321086,0.900581124,13.68362108
2051,119.1111111,1.098017931,42.89946365,0.306145731,1.72422465,3.586585798,0.63681837,5.632038848
2052,104.1111111,0.87607199,42.99937057,0.165640886,1.5449806,5.288983965,0.567044007,9.327290123
2053,61.22222222,0.977550209,42.03646851,0.178776021,1.283647355,5.468016368,0.761541092,7.180198708
2054,34.44444444,1.653072238,42.25789261,0.25719792,1.305676284,6.427237973,1.266065914,5.076542936
2055,76.22222222,0.998413742,42.52450943,0.271475712,1.476048645,3.677727686,0.676409782,5.437129657
2056,38,1.407813072,39.87488556,0.220672626,1.774655213,6.379645258,0.793288218,8.042026984
2057,650.104,0.884294927,40.47453308,0.200674362,1.518987721,4.406616362,0.582160682,7.569415973
2058,609.304,0.691577494,40.70814896,0.159658728,1.284692305,4.33159842,0.538321504,8.046489666
2059,459.384,0.721744776,40.47386932,0.192379687,1.117339688,3.751668314,0.645949288,5.807992026
2060,447.184,0.892286956,40.14874649,0.221738384,1.702910327,4.024052759,0.523977653,7.679817523
2061,406.384,0.869366705,41.24601746,0.109678036,1.166245917,7.926534215,0.745440299,10.63335887
2062,412.864,0.835200548,41.59343338,0.107969146,1.325902729,7.735548339,0.629910875,12.28038544
2063,275.9125,0.911235392,39.64958191,0.262427752,1.25506901,3.472328613,0.726044054,4.782531575
2064,654.2875,1.125576973,42.2399025,0.191164669,1.164250693,5.887996871,0.966782309,6.090302665
2065,397.7875,1.043972969,40.8741951,0.257252271,1.517006418,4.058168136,0.688179665,5.896960257
2066,182.1,1.331604481,40.80233002,0.340531,2.044994389,3.910376679,0.651153122,6.005310497
2067,117.475,2.796358347,42.28863907,0.283460973,1.874319028,9.86505591,1.491932966,6.61226485
2068,253.1,2.481788158,40.17281723,0.414561742,2.17523792,5.986534469,1.140927222,5.247078299
2069,219.475,1.776884079,40.50317383,0.32092442,1.663851702,5.536768062,1.067934166,5.184559349
2070,248.6,1.368263483,41.74202347,0.217461568,1.031630672,6.291978374,1.326311363,4.74396778
2071,138.475,1.317655325,41.688591,0.1921068,1.232819516,6.858972847,1.06881446,6.41736532
2072,141.7875,1.009973049,40.82429504,0.173527493,1.422552974,5.820248028,0.709972189,8.197853547
2073,367.6625,1.110958219,42.34877014,0.221026718,1.592312088,5.026352601,0.697701303,7.204161119
2074,99.475,1.442008257,40.4046936,0.361839374,1.442443023,3.985216537,0.999698591,3.986418081
2075,73.975,1.99123621,40.38670731,0.407763643,1.893478765,4.883309839,1.051628488,4.643569375
2076,141.975,2.005266666,40.18161011,0.223872163,3.952140349,8.95719521,0.507387514,17.6535586
2077,74.1625,2.037737608,41.032444,0.217446405,3.478161133,9.37121774,0.585866362,15.99548695
2078,130.85,1.820850968,41.87253952,0.305951398,2.322892686,5.951438627,0.783872186,7.592358463
2079,82.225,2.016126633,42.44955826,0.214448383,1.587545595,9.401454116,1.269964554,7.402926396
2080,64.975,1.401637673,42.13575745,0.225302168,1.71803266,6.221145963,0.815838782,7.625459956
2081,55.1,1.439563394,42.63161087,0.180171836,1.410084056,7.989946853,1.020906086,7.82632895
2082,113.1625,1.457788706,42.55739975,0.255219082,1.899920826,5.711911094,0.767289187,7.444274194
2083,186.3125,1.283858299,43.08550644,0.144949597,1.572403855,8.857274015,0.816493991,10.84793533
2084,94.125,1.641221046,45.64416122,0.130435249,0.964710844,12.58264969,1.701256969,7.396090025
2085,195.375,1.691918731,43.89309311,0.130999874,1.134865146,12.91542258,1.490854431,8.66310105
2086,176.2083333,1.392768979,44.66639709,0.085439608,0.873287302,16.30120984,1.594857701,10.22110614
2087,107.2083333,1.782326221,43.98691177,0.17804204,1.609410556,10.01070433,1.10744037,9.039497391
2088,193.2083333,1.251106977,43.72652817,0.201206538,1.191313778,6.218023477,1.050190974,5.920850236
2089,217.4583333,1.372249603,44.41230011,0.08682503,1.204702197,15.8047697,1.139077862,13.8750565
2090,517.7083333,1.041031957,43.98653412,0.078785737,0.759868928,13.21345711,1.370015168,9.644752425
2091,82.70833333,1.351067424,45.34201813,0.073586961,0.78011008,18.36014704,1.731893304,10.60119985
2092,384.2083333,1.24383533,44.32081604,0.10218683,0.874113149,12.17216866,1.422968332,8.554068553
2093,339.375,1.210636973,43.95252228,0.071464959,0.69184731,16.9402878,1.749861502,9.680930622
2094,97.875,1.222881317,43.5929184,0.122077921,1.157229603,10.01721939,1.056731796,9.479434066
2095,257.125,1.308828712,44.04706573,0.14686044,1.190975955,8.912057679,1.098954774,8.109576377
2096,93.875,1.104270339,44.21818161,0.111685767,1.114284389,9.88729691,0.991013021,9.976959634
2097,492.875,1.117992997,43.86628342,0.073976065,0.95162041,15.11290168,1.174830831,12.86389605
2098,469.375,0.7905761,43.98419189,0.066293597,1.058354723,11.92537644,0.746985942,15.9646598
2099,467.875,1.20406127,43.24018097,0.125089992,1.354598557,9.625560373,0.888869447,10.82899227
2100,499.625,1.319534302,43.31147385,0.108216462,1.756202471,12.1934711,0.751356591,16.22860735
2101,332.7083333,1.800247073,43.98798752,0.099018928,1.278159465,18.18083784,1.408468288,12.90823372
2102,137.7083333,1.54082346,42.89525986,0.088508236,1.158603477,17.40881447,1.329897148,13.0903465
2103,304.4583333,1.399459839,43.26924896,0.085920307,1.799938018,16.2878822,0.777504461,20.94892443
2104,573.4583333,0.957583189,43.5118103,0.08728104,1.239008185,10.97126236,0.772862682,14.19561665
2105,160.4583333,1.122043848,42.97807693,0.105567379,1.215050117,10.62869855,0.923454788,11.50971189
2106,214.7083333,1.662238121,43.08222198,0.149691057,1.605622217,11.10445844,1.035261037,10.72624009
2107,145.2083333,0.977616966,44.7060585,0.061311554,0.559756622,15.94506911,1.746503619,9.129708603
2108,320.375,1.39759779,42.87221527,0.167366012,1.811785561,8.350547243,0.771392498,10.82528967
2109,176.125,1.444213867,43.20427704,0.115792151,1.590007504,12.47246773,0.908306321,13.73156548
2110,230.125,1.185612679,42.36076736,0.148894684,1.718112884,7.962760302,0.690066811,11.53911502
2111,139.9583333,1.400162697,43.88704681,0.096013433,1.04039124,14.58298754,1.345804004,10.83589252
2112,339.125,1.403539419,44.01094437,0.111668916,1.117716986,12.56875655,1.255719862,10.00920423
2113,155.7083333,1.205304742,43.68089294,0.080504322,1.285250754,14.97192588,0.937797343,15.96499072
